time,setpoint,pressure,control_signal
0,50,2,901.25
0.05,50,3.314,66.45
0.1,50,4.80845,75.9651
0.15,50,6.19676,71.2189
0.2,50,7.575,71.2355
0.25,50,8.9122,69.7009
0.3,50,10.2196,68.7101
0.35,50,11.4943,67.5674
0.4,50,12.7381,66.5032
0.45,50,13.9514,65.4406
0.5,50,15.1349,64.4046
0.55,50,16.2891,63.3864
0.6,50,17.4147,62.3886
0.65,50,18.5123,61.4098
0.7,50,19.5824,60.4501
0.75,50,20.6257,59.509
0.8,50,21.6428,58.5863
0.85,50,22.6341,57.6816
0.9,50,23.6002,56.7947
0.95,50,24.5417,55.9252
1,50,25.4591,55.0728
1.05,50,26.3529,54.2373
1.1,50,27.2236,53.4183
1.15,50,28.0718,52.6156
1.2,50,28.8978,51.8289
1.25,50,29.7022,51.0579
1.3,50,30.4855,50.3024
1.35,50,31.2481,49.562
1.4,50,31.9905,48.8365
1.45,50,32.7131,48.1257
1.5,50,33.4163,47.4292
1.55,50,34.1006,46.7469
1.6,50,34.7664,46.0785
1.65,50,35.4142,45.4237
1.7,50,36.0442,44.7823
1.75,50,36.657,44.1541
1.8,50,37.2528,43.5388
1.85,50,37.8321,42.9362
1.9,50,38.3953,42.3461
1.95,50,38.9427,41.7682
2,50,39.4747,41.2023
2.05,50,39.9916,40.6483
2.1,50,40.4938,40.1058
2.15,50,40.9816,39.5747
2.2,50,41.4553,39.0548
2.25,50,41.9153,38.5459
2.3,50,42.3619,38.0477
2.35,50,42.7954,37.5601
2.4,50,43.2161,37.0829
2.45,50,43.6243,36.6158
2.5,50,44.0203,36.1588
2.55,50,44.4043,35.7115
2.6,50,44.7768,35.2739
2.65,50,45.1379,34.8457
2.7,50,45.4879,34.4268
2.75,50,45.8271,34.017
2.8,50,46.1557,33.6161
2.85,50,46.474,33.2239
2.9,50,46.7822,32.8404
2.95,50,47.0807,32.4653
3,50,47.3695,32.0984
3.05,50,47.6491,31.7396
3.1,50,47.9195,31.3888
3.15,50,48.181,31.0458
3.2,50,48.4338,30.7105
3.25,50,48.6782,30.3826
3.3,50,48.9144,30.0621
3.35,50,49.1425,29.7488
3.4,50,49.3628,29.4426
3.45,50,49.5754,29.1433
3.5,50,49.7806,28.8509
3.55,50,49.9786,28.5651
3.6,50,50.1695,28.2858
3.65,50,50.3535,28.0129
3.7,50,50.5307,27.7463
3.75,50,50.7015,27.4859
3.8,50,50.8658,27.2315
3.85,50,51.024,26.983
3.9,50,51.1761,26.7403
3.95,50,51.3224,26.5033
4,50,51.4629,26.2719
4.05,50,51.5978,26.0459
4.1,50,51.7274,25.8252
4.15,50,51.8516,25.6098
4.2,50,51.9707,25.3995
4.25,50,52.0848,25.1942
4.3,50,52.194,24.9939
4.35,50,52.2986,24.7983
4.4,50,52.3985,24.6075
4.45,50,52.4939,24.4213
4.5,50,52.585,24.2397
4.55,50,52.6719,24.0625
4.6,50,52.7546,23.8896
4.65,50,52.8334,23.721
4.7,50,52.9082,23.5565
4.75,50,52.9794,23.3961
4.8,50,53.0468,23.2397
4.85,50,53.1107,23.0872
4.9,50,53.1711,22.9386
4.95,50,53.2282,22.7936
5,50,53.2821,22.6524
5.05,50,53.3327,22.5147
5.1,50,53.3804,22.3806
5.15,50,53.425,22.2498
5.2,50,53.4668,22.1225
5.25,50,53.5057,21.9984
5.3,50,53.542,21.8775
5.35,50,53.5756,21.7598
5.4,50,53.6067,21.6452
5.45,50,53.6353,21.5336
5.5,50,53.6616,21.4249
5.55,50,53.6855,21.3191
5.6,50,53.7072,21.2161
5.65,50,53.7267,21.1159
5.7,50,53.7441,21.0184
5.75,50,53.7595,20.9235
5.8,50,53.7729,20.8312
5.85,50,53.7844,20.7414
5.9,50,53.7941,20.654
5.95,50,53.8021,20.5691
6,50,53.8083,20.4866
6.05,50,53.8128,20.4063
6.1,50,53.8158,20.3283
6.15,50,53.8172,20.2525
6.2,50,53.8172,20.1788
6.25,50,53.8157,20.1072
6.3,50,53.8128,20.0377
6.35,50,53.8087,19.9702
6.4,50,53.8032,19.9046
6.45,50,53.7965,19.8409
6.5,50,53.7886,19.7792
6.55,50,53.7796,19.7192
6.6,50,53.7694,19.661
6.65,50,53.7582,19.6046
6.7,50,53.7461,19.5498
6.75,50,53.7329,19.4967
6.8,50,53.7188,19.4452
6.85,50,53.7038,19.3953
6.9,50,53.688,19.347
6.95,50,53.6713,19.3001
7,50,53.6539,19.2548
7.05,50,53.6357,19.2108
7.1,50,53.6168,19.1683
7.15,50,53.5972,19.1271
7.2,50,53.577,19.0872
7.25,50,53.5561,19.0487
7.3,50,53.5347,19.0114
7.35,50,53.5127,18.9753
7.4,50,53.4901,18.9405
7.45,50,53.4671,18.9068
7.5,50,53.4436,18.8743
7.55,50,53.4196,18.8429
7.6,50,53.3952,18.8126
7.65,50,53.3704,18.7833
7.7,50,53.3452,18.7551
7.75,50,53.3197,18.7279
7.8,50,53.2938,18.7016
7.85,50,53.2677,18.6763
7.9,50,53.2412,18.652
7.95,50,53.2145,18.6285
8,50,53.1875,18.606
8.05,50,53.1603,18.5843
8.1,50,53.1328,18.5634
8.15,50,53.1052,18.5434
8.2,50,53.0774,18.5241
8.25,50,53.0494,18.5056
8.3,50,53.0213,18.4879
8.35,50,52.9931,18.4709
8.4,50,52.9647,18.4547
8.45,50,52.9363,18.4391
8.5,50,52.9077,18.4242
8.55,50,52.8791,18.4099
8.6,50,52.8504,18.3963
8.65,50,52.8217,18.3833
8.7,50,52.793,18.3709
8.75,50,52.7642,18.3591
8.8,50,52.7354,18.3478
8.85,50,52.7067,18.3371
8.9,50,52.6779,18.327
8.95,50,52.6492,18.3173
9,50,52.6205,18.3082
9.05,50,52.5918,18.2996
9.1,50,52.5632,18.2914
9.15,50,52.5346,18.2837
9.2,50,52.5062,18.2765
9.25,50,52.4778,18.2697
9.3,50,52.4494,18.2633
9.35,50,52.4212,18.2574
9.4,50,52.3931,18.2518
9.45,50,52.3651,18.2466
9.5,50,52.3372,18.2418
9.55,50,52.3094,18.2373
9.6,50,52.2817,18.2332
